회차,시작_책,시작_장,끝_책,끝_장,장수
1,창세기,1,창세기,4,4
2,창세기,5,창세기,9,5
3,창세기,10,창세기,14,5
4,창세기,15,창세기,19,5
5,창세기,20,창세기,24,5
6,창세기,25,창세기,27,3
7,창세기,28,창세기,31,4
8,창세기,32,창세기,35,4
9,창세기,36,창세기,38,3
10,창세기,39,창세기,42,4
11,창세기,43,창세기,46,4
12,창세기,47,창세기,50,4
13,출애굽기,1,출애굽기,5,5
14,출애굽기,6,출애굽기,9,4
15,출애굽기,10,출애굽기,13,4
16,출애굽기,14,출애굽기,17,4
17,출애굽기,18,출애굽기,21,4
18,출애굽기,22,출애굽기,25,4
19,출애굽기,26,출애굽기,29,4
20,출애굽기,30,출애굽기,33,4
21,출애굽기,34,출애굽기,36,3
22,출애굽기,37,출애굽기,40,4
23,레위기,1,레위기,6,6
24,레위기,7,레위기,10,4
25,레위기,11,레위기,13,3
26,레위기,14,레위기,16,3
27,레위기,17,레위기,20,4
28,레위기,21,레위기,24,4
29,레위기,25,레위기,27,3
30,민수기,1,민수기,3,3
31,민수기,4,민수기,6,3
32,민수기,7,민수기,8,2
33,민수기,9,민수기,12,4
34,민수기,13,민수기,15,3
35,민수기,16,민수기,19,4
36,민수기,20,민수기,22,3
37,민수기,23,민수기,26,4
38,민수기,27,민수기,30,4
39,민수기,31,민수기,33,3
40,민수기,34,신명기,1,4
41,신명기,2,신명기,4,3
42,신명기,5,신명기,9,5
43,신명기,10,신명기,14,5
44,신명기,15,신명기,19,5
45,신명기,20,신명기,24,5
46,신명기,25,신명기,28,4
47,신명기,29,신명기,32,4
48,신명기,33,여호수아,4,6
49,여호수아,5,여호수아,9,5
50,여호수아,10,여호수아,13,4
51,여호수아,14,여호수아,17,4
52,여호수아,18,여호수아,21,4
53,여호수아,22,사사기,1,4
54,사사기,2,사사기,5,4
55,사사기,6,사사기,9,4
56,사사기,10,사사기,14,5
57,사사기,15,사사기,19,5
58,사사기,20,룻기,2,4
59,룻기,3,사무엘상,3,5
60,사무엘상,4,사무엘상,9,6
61,사무엘상,10,사무엘상,14,5
62,사무엘상,15,사무엘상,17,3
63,사무엘상,18,사무엘상,21,4
